||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
1| A12732|Jagoda st - SAT|18049|-.54|0|0|1991.1|0|1239.04|0|0|0|18049|
2|12500|Wimal - SAT|7936|-.53|0|0|0|0|0|0|0|0|7936|
3|9052|Siriwardana st - 2FR|2350|.24|0|0|0|0|0|0|0|0|2350|
4|9076|Semage milk Bar - MON|2065|-1.02|0|0|86.08|0|0|2065|0|0|0|
5|9132|Hatton st - 2TH|315|0|0|0|0|0|0|315|0|0|0|
6|91449|Asiri st - 2WE|4351|-.93|26.25|0|0|0|0|0|0|0|4351|
7|9654|Nadeesha st - 2SA|620|.48|0|0|0|0|0|620|0|0|0|
8|97594|Dimuthu st - 2MO|1789|-.5|0|0|0|0|0|1789|0|0|0|
9|9876|Umaya    st - 2TU|2160|0|0|0|0|0|0|2160|0|0|0|
10|A12144|K.G.S. - TUE|10276|-.49|0|0|0|0|0|0|10276|0|0|
11|A12158|Chameera - TUE|1697|-.26|0|0|0|0|0|0|0|0|1697|
12|A12166|Newsiri st - TUE|15260|-.74|0|0|0|0|0|0|0|0|15260|
13|A12185|Sandhya - THU|3076|-.22|0|0|0|0|0|0|0|0|3076|
14|A12192|South Tr. - THU|3489|-.47|0|0|145.39|0|0|3387|0|0|102|
15|A12216|Ananda st - THU|3900|-.38|0|0|0|0|0|0|0|0|3900|
16|A122610|Gamini st - TUE|7001|-.46|0|0|291.73|0|0|0|0|0|7001|
17|A12263|Jagath st - TUE|37807|-.78|0|0|2814.36|0|1239.04|0|0|0|37807|
18|A12265|Chenu F/C - SAT|25002|-.76|0|0|1041.78|0|0|0|0|0|25002|
19|A12276|Uditha Vegi Shop - SAT|10196|-.17|622.47|0|1044.36|0|619.52|0|0|0|10196|
20|A12287|Jeewaka sta - SAT|8470|-.83|0|0|352.95|0|0|0|0|0|8470|
21|A12310|P.A.W.Pharmacy - MON|2228|-.04|0|0|0|0|0|0|2228|0|0|
22|A12325|W.H.P. Store- Bataganvila - MON|4052|-.85|0|0|0|0|0|0|0|0|4052|
23|A12335|Sanka com. - MON|6692|-.26|0|0|0|0|0|0|0|0|6692|
24|A12341|Dilmi - TUE|2607|0|0|0|0|0|0|2607|0|0|0|
25|A12354|A G F - TUE|9673|-.29|0|0|0|0|0|0|0|0|9673|
26|A12362|Samantha's B/H - TUE|4635|-.44|1344.6|0|0|0|0|4635|0|0|0|
27|A12366|Samantha's st - Galwatawatta - TUE|3550|-.02|211.5|0|0|0|0|0|0|0|3550|
28|A12368|Kosgaha Kade - TUE|16950|-.62|0|0|706.28|0|0|0|0|0|16950|
29|A12380|Ruhunu Farm Shop - THU|47743|-1.45|0|0|3228.39|0|1239.04|0|0|0|47743|
30|A12383|Ambagaha Watta - WED|6139|-.2|0|0|0|0|0|0|0|0|6139|
31|A12393|S. Narangoda - WED|2104|-.08|0|0|0|0|0|0|0|0|2104|
32|A12394|Hiddayath Food City - THU|269170|-2.29|1953.1|1512|11215.51|0|0|0|0|0|269170|
33|A12402|Semlat - WED|1622|-.1|0|0|0|0|0|0|0|0|1622|
34|A12404|Sudantha St - WED|1748|-.1|0|0|0|0|0|0|0|0|1748|
35|A12414|P H S St - WED|2737|0|0|0|0|0|0|0|0|0|2737|
36|A12428|Goldan Grocery - THU|12867|-.21|22.5|0|536.13|0|0|0|0|0|12867|
37|A12450|E H P St - THU|13511|-.78|0|0|562.99|0|0|0|0|0|13511|
38|A12452|L P K St - THU|1042|-.5|0|0|0|0|0|0|0|0|1042|
39|A12457|Thushara Hotel - FRI|23884|-.42|577.1|0|995.18|0|0|0|0|0|23884|
40|A12465|Crystal Pharmacy - FRI|2482|-.53|0|0|0|0|0|0|0|0|2482|
41|A12466|T.A St - FRI|9155|-.45|0|0|0|0|0|0|0|0|9155|
42|A12468|C/B Food City - FRI|13809|-1.18|0|0|575.42|0|0|0|0|0|13809|
43|A12474|Sada taru Grocery - FRI|1312|-.5|0|0|0|0|0|0|0|0|1312|
44|A12478|Osethma Ph. - FRI|726|0|0|0|0|0|0|0|0|0|726|
45|A12492|Faruq Hotel - FRI|5939|-.02|0|0|0|0|0|0|0|0|5939|
46|A12493|B T M Hotel - FRI|5789|-.8|0|0|241.24|0|0|0|0|0|5789|
47|A12494|Rizla Hotel - FRI|10969|0|0|0|457.04|0|0|0|0|0|10969|
48|A12510|Mudalige st - SAT|3993|-.14|0|0|166.38|0|0|0|0|0|3993|
49|A12513|K.P.S. St - SAT|2923|-.52|0|0|0|0|0|0|0|0|2923|
50|A12520|Visal B / House - SAT|4924|-4.55|583.05|0|0|0|0|0|0|4924|0|
51|A12539|B.H.S.Hotel - MON|837|0|0|0|0|0|0|0|0|0|837|
52|A12540|Malwanna st - MON|1200|0|0|0|0|0|0|0|0|0|1200|
53|A12542|Dangedara st - MON|2204|-.66|0|0|0|0|0|0|0|0|2204|
54|A12546|K.G. Grocery - MON|8073|-.95|0|0|336.41|0|0|0|0|0|8073|
55|A12557|Gamage Stores - MON|4448|-.3|0|0|0|0|0|0|0|0|4448|
56|A12560|Sahabandu st - MON|4437|-.66|0|0|184.9|0|0|0|0|0|4437|
57|A12561|Ananda Mini Mart - MON|3427|-.52|0|0|0|0|0|0|0|0|3427|
58|A12563|Buddika - TUE|26702|-.84|0|0|1211.06|0|0|0|0|0|26702|
59|A12564|S .S Grocery - TUE|20024|-.35|0|0|834.35|0|0|0|0|0|20024|
60|A12572|Madola - TUE|42653|-.72|643.5|0|2650.08|0|0|0|0|0|42653|
61|A12573|Hasara - TUE|13607|-.59|616.5|0|566.98|0|0|0|0|0|13607|
62|A12582|Jagoda st - TUE|6492|-1.09|0|0|0|0|0|0|0|0|6492|
63|A12587|Aluth Kade St - TUE|32988|-.34|0|0|2613.55|0|1239.04|0|0|0|32988|
64|A12589|Madanayaka - TUE|4683|-.68|0|0|0|0|0|0|0|0|4683|
65|A12592|Laksiri Book shop - TUE|755|-.1|0|0|0|0|0|0|0|0|755|
66|A12615|Sampath f / c - WED|24292|-.48|0|0|2251.23|0|1239.04|0|0|0|24292|
67|A12616|Semlat - WED|1480|-.8|0|0|0|0|0|0|0|0|1480|
68|A12624|Suwira - WED|4275|-.75|0|0|0|0|0|0|0|0|4275|
69|A12630|Mahilal Ent - WED|7942|-.5|0|0|330.94|0|0|0|0|0|7942|
70|A12631|New Iresha st - WED|8217|-.71|0|0|342.4|0|0|0|0|0|8217|
71|A12649|Barakath super - THU|7276|-.05|0|0|303.17|0|0|0|0|0|7276|
72|A12653|Lu Lu Pharmacy - THU|2194|-.49|0|0|0|0|0|0|0|0|2194|
73|A12661|K.M.D. st - THU|8039|-.8|0|0|0|0|0|0|0|0|8039|
74|A12670|Liyanage st - THU|1462|-.5|0|0|0|0|0|0|0|0|1462|
75|A12673|Higland Milk Bar - THU|1256|-.28|0|0|0|0|0|0|0|0|1256|
76|A12676|Janaka Hotel - THU|2031|-.4|432|0|0|0|0|0|0|0|2031|
77|A12678|Sahanasala - FRI|78150|-.2|0|0|8683.36|0|0|0|0|0|78150|
78|A12679|Devon Pharmacy - FRI|1221|-.76|0|0|0|0|0|7|0|0|1214|
79|A12680|Sahan crystal - FRI|2291|-.64|0|0|0|0|0|2291|0|0|0|
80|A12681|D.K.G. St - FRI|4537|-.89|198|0|189.08|0|0|0|4537|0|0|
81|A12683|Karapitiya Agencies - FRI|10111|-.92|493.05|0|421.33|0|0|10111|0|0|0|
82|A12685|Senith Pharmacy - FRI|10426|-.8|0|0|0|0|0|0|0|0|10426|
83|A12686|T.A St - FRI|5049|-.63|0|0|0|0|0|5049|0|0|0|
84|A12687|Samudra Hotel - FRI|9933|-.64|0|0|0|0|0|12|0|0|9921|
85|A12689|Sunray Food City - FRI|4177|-.68|864|0|0|0|0|0|4177|0|0|
86|A12690|Buddy st - FRI|2197|-.52|0|0|0|0|0|2197|0|0|0|
87|A12691|R R M Traders - FRI|53420|-1.03|3425.65|0|2389.94|0|0|0|0|0|53420|
88|A12693|Abesundara st - FRI|11243|-.81|261|0|468.49|0|0|0|0|0|11243|
89|A12694|Mahoga St - FRI|3335|-.06|432|0|138.96|0|0|35|3300|0|0|
90|A12695|Uluvitiya St - FRI|2439|-.66|0|0|0|0|0|2439|0|0|0|
91|A12696|A K J Hotel - FRI|2269|0|0|0|0|0|0|0|0|0|2269|
92|A12697|P V K St - FRI|2398|-.2|0|0|0|0|0|2398|0|0|0|
93|A12698|Madura Cool - FRI|1039|-.08|0|0|0|0|0|1039|0|0|0|
94|A12699|Sada taru Grocery - FRI|918|0|0|0|0|0|0|918|0|0|0|
95|A12700|Kodithuwakku st - FRI|2138|-.11|0|0|0|0|0|2138|0|0|0|
96|A12701|Alvitigala st - FRI|1242|0|0|0|0|0|0|1242|0|0|0|
97|A12702|V.T.M. Foods - FRI|368|-.25|206.25|0|0|0|0|368|0|0|0|
98|A12704|Lalani st - FRI|2120|-.1|0|0|0|0|0|120|2000|0|0|
99|A12705|B K S St - FRI|4668|-.57|0|0|0|0|0|0|0|0|4668|
100|A12706|Asiri Cake - FRI|2611|-.54|0|0|0|0|0|2611|0|0|0|
101|A12708|Litel Lanka - FRI|1029|-.01|0|0|0|0|0|0|0|0|1029|
102|A12709|Praboda Book - FRI|1177|-.36|0|0|0|0|0|1177|0|0|0|
103|A12710|Star Hotel - FRI|4282|-.38|0|0|0|0|0|4282|0|0|0|
104|A12711|Briks snaks - FRI|1072|-.14|0|0|0|0|0|1072|0|0|0|
105|A12712|Faruq Hotel - FRI|2004|-.04|0|0|0|0|0|2004|0|0|0|
106|A12713|B T M Hotel - FRI|3169|-.15|0|0|132.05|0|0|3169|0|0|0|
107|A12714|Rizla Hotel - FRI|11996|-.87|0|0|499.87|0|0|0|0|0|11996|
108|A12715|Samagp Milk Bar - FRI|5042|-.42|0|0|0|0|0|0|0|0|5042|
109|A12718|Liyanage - SAT|3065|-.28|0|0|0|0|0|0|0|0|3065|
110|A12720|Priyantha st - SAT|1512|0|0|0|0|0|0|1512|0|0|0|
111|A12721|Nilanthi st - SAT|19138|-.18|0|0|2036.46|0|1239.04|19138|0|0|0|
112|A12722|Taraka - SAT|812|-.2|0|0|0|0|0|812|0|0|0|
113|A12724|Dais st - SAT|675|0|0|0|0|0|0|675|0|0|0|
114|A12726|Sadun Grocery - SAT|2545|-.5|0|0|0|0|0|2545|0|0|0|
