 Date : 07/24/15    Vehical : 28 -  8897  Wan    By User : asiri
No|Item|Weight|Price|UPC|BSC|BSP|RDR|LDC|LDP|ULC|ULP|RDC|RDP|BilP|Excs|Shrt
1|Free Line|  0.000|    0.00|  1|0|10|0|0|0|0|10|0|0|0|0|0
2|Goold Marie - 02/24/2013|  0.080|   26.25| 60|1|5|0|5|0|3|26|2|39|159|0|0
3|Chocolate Cream - 08/14/2013|  0.100|   43.25| 50|0|49|0|4|0|2|48|2|1|101|0|0
4|Cream Cracker - 02/24/2013|  0.130|   45.00| 48|0|7|0|4|36|2|37|2|6|102|0|0
5|Cream Cracker - 02/24/2013|  0.190|   67.50| 40|1|16|0|0|28|1|8|0|36|36|0|0
6|Cream Cracker - 06/29/2013|  0.330|  126.00|  8|0|4|0|0|0|0|4|0|0|0|0|0
7|Cream Cracker - 02/24/2013|  0.500|  154.88|  8|2|0|0|4|0|3|7|2|1|17|0|0
8|Lemon puff - 06/29/2013|  0.100|   49.50| 30|0|27|0|0|0|0|18|0|9|9|0|0
9|Lemon Puff - 05/13/2013|  0.200|   90.00| 30|1|4|0|2|0|2|7|0|27|27|0|0
10|Chocolate Puff - 12/26/2013|  0.100|   45.00| 30|0|14|0|0|0|0|8|0|6|18|12|0
11|Chocolate Puff - 12/26/2013|  0.200|   81.00| 30|0|15|0|0|0|0|13|0|2|8|6|0
12|Sorties - 02/24/2013|  0.070|   22.50| 60|0|23|0|0|0|0|17|0|6|6|0|0
13|Nice - 07/03/2013|  0.100|   39.60| 60|0|35|0|0|0|0|24|0|11|15|4|0
14|Hawaiian Cookies - 06/29/2013|  0.100|   45.00| 30|0|12|0|0|0|0|12|0|0|0|0|0
15|Bran Cracker - 06/29/2013|  0.210|   90.00| 24|0|5|0|0|0|0|5|0|0|0|0|0
16|Cheesebits - 04/19/2013|  0.030|   22.50| 60|0|50|0|0|0|0|40|0|10|10|0|0
17|Krisco - 07/03/2013|  0.170|  126.00| 15|0|5|0|0|0|0|0|0|5|3|0|2
18|Krisco - 05/13/2013|  0.220|  234.00| 10|0|1|0|0|0|0|0|0|1|0|0|1
19|Chocolate Cream - 04/02/2015|  0.400|  164.35|  4|1|1|0|3|0|2|0|2|1|8|0|1
20|Custard Cream - 02/24/2013|  0.100|   38.93| 50|0|13|0|0|0|0|4|0|9|9|0|0
21|Orange Cream - 03/31/2013|  0.100|   38.93| 50|0|7|0|1|0|0|48|0|9|9|0|0
22|Chickbits - 06/29/2013|  0.080|   63.00| 40|0|7|0|0|0|0|7|0|0|0|0|0
23|Chickbit - 05/13/2013|  0.030|   22.50| 60|0|30|0|2|0|1|0|1|30|70|0|20
24|Inguru Biscuit - 04/02/2015|  0.080|   39.60| 50|0|34|0|1|0|0|32|1|2|52|0|0
25|Inguru Biscuit - 04/02/2015|  0.240|  105.60| 24|0|1|0|0|0|0|1|0|0|0|0|0
26|Millk Short Cake - 06/29/2013|  0.080|   39.38| 50|0|6|0|0|0|0|6|0|0|0|0|0
27|Milk short cake - 04/02/2015|  0.190|   78.75| 24|0|14|0|0|0|0|14|0|0|0|0|0
28|Kisco Bite - 07/03/2013|  0.030|   22.50| 60|0|20|0|0|0|0|40|-1|40|0|20|0
29|Wafers-chocolate - 07/31/2013|  0.100|   43.75| 20|1|5|0|0|0|1|5|0|0|0|0|0
30|Waferes Chocolat - 11/11/2013|  0.250|   96.25|  8|0|7|0|0|0|0|7|0|0|0|0|0
31|Wafers-vanila - 07/31/2013|  0.100|   43.75| 20|0|1|0|2|0|1|17|0|4|4|0|0
32|Wefers vanila - 11/11/2013|  0.250|   96.25|  8|0|6|0|0|0|0|6|0|0|0|0|0
33|Spicy Cracker - 03/30/2013|  0.080|   45.00| 30|0|12|0|1|0|0|18|0|24|12|0|12
34|Spicy Cracker - 03/30/2013|  0.150|   81.00| 30|0|21|0|0|0|0|3|0|18|12|0|6
35|Double Cream - Strawbery - 12/26/2013|  0.110|   49.50| 50|0|0|0|1|0|0|47|0|3|3|0|0
36|Double Cream- Chocolate - 12/26/2013|  0.110|   49.50| 50|0|26|0|0|0|0|23|0|3|3|0|0
37|Nice - 01/23/2014|  0.440|  158.40|  4|0|2|0|2|0|1|2|1|0|4|0|0
38|White Chocolate Puff - 03/24/2014|  0.200|   90.00| 30|0|5|0|1|0|1|5|0|0|0|0|0
39|Yo yo chocolate - 01/05/2015|  0.060|   18.00| 60|0|9|0|0|23|0|12|0|20|18|0|2
40|Yo yo Lemon - 01/05/2015|  0.060|   18.00| 60|0|0|0|0|22|0|2|0|20|18|0|2
41|Yo yo Venila - 01/05/2015|  0.060|   18.00| 60|0|0|0|0|14|0|0|0|14|18|4|0
42|Light Mari - 01/05/2015|  0.070|   18.00| 60|1|13|0|0|0|0|0|1|13|73|0|0
43|Orange Cream - 04/02/2015|  0.400|  164.35|  4|2|1|0|1|0|3|1|0|0|0|0|0
44|Custard Cream - 04/02/2015|  0.400|  164.35|  4|1|2|0|2|0|5|3|-3|3|4|13|0
45|Wafers-vanila - 04/02/2015|  0.400|  157.50|  4|0|1|0|1|0|1|1|0|0|0|0|0
46|Chocolate Marie - 04/02/2015|  0.080|   36.00| 60|0|57|0|0|0|0|45|0|12|12|0|0
47|Snackers- Spicy - 07/03/2013|  0.040|   27.00| 40|0|20|0|0|0|0|10|0|10|10|0|0
