||Month : 5 - 2015|||Vehical : 41-5786 Kara||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
1|A06233|Daily Needs - THU|13725|13.31|356.63|0|571.32|0|0|0|0|13725|0|
2|A06247|Sinura Grocery - THU|1284|0|0|0|0|0|0|0|0|784|0|
3|A06253|Ruhunu Farm Shop - THU|32152|-1.05|0|0|1339.71|0|0|0|0|32152|0|
4|A06256|Higland Milk Bar - THU|809|-.79|0|0|0|0|0|0|0|809|0|
5|A06231|Star Hotel - THU|2689|-.74|0|0|0|0|0|0|0|2689|0|
6|A06266|Daglas St - FRI|29129|-.73|0|0|1213.74|0|0|11|0|0|29118|
7|A06285|Allkamis st - FRI|1890|0|0|0|0|0|0|1890|0|0|0|
8|A06280|Lalani st - FRI|934|-.5|0|0|0|0|0|934|0|0|0|
9|A06271|Sunray Food City - FRI|2507|-.01|358.43|0|0|0|0|2507|0|0|0|
10|A06279|Bandula Hotel - FRI|1512|0|0|0|0|0|0|1512|0|0|0|
11|A06278|Alvitigala st - FRI|899|-.58|0|0|0|0|0|899|0|0|0|
12|A06277|Kodithuwakku st - FRI|1158|-.95|0|0|0|0|0|1158|0|0|0|
13|A06276|Sada taru Grocery - FRI|663|-.75|0|0|0|0|0|663|0|0|0|
14|A06275|P V K St - FRI|1308|0|792|0|0|0|0|1308|0|0|0|
15|A06272|Abesundara st - FRI|643|-.75|5175|0|0|0|0|643|0|0|0|
16|A06269|Crystal Pharmacy - FRI|595|-.32|273.38|0|0|0|0|595|0|0|0|
17|A06077|Samudra Hotel - FRI|5200|-.54|54|0|0|0|0|5200|0|0|0|
18|A06289|M P S Coll Spot - FRI|1117|-.2|0|0|0|0|0|1117|0|0|0|
19|A06288|Dinesh Hotel - FRI|467|-.25|0|0|0|0|0|467|0|0|0|
20|A06290|Nimal st - FRI|1015|-.2|0|0|0|0|0|1015|0|0|0|
21|A06292|Briks snaks - FRI|887|-.63|154.88|0|0|0|0|887|0|0|0|
22|A06283|Cafe Spicy - FRI|417|0|0|0|0|0|0|417|0|0|0|
23|A06286|Rizla Hotel - FRI|4453|-.76|0|0|185.57|0|0|4453|0|0|0|
24|A06270|D.K.G. St - FRI|3838|-.27|0|0|0|0|0|3838|0|0|0|
25|A06294|Vogina Trade Center - SAT|1989|-.4|0|0|0|0|0|1989|0|0|0|
26|A06295|Guruge Stores - SAT|912|-.75|0|0|0|0|0|912|0|0|0|
27|A06297|Uditha Vegi Shop - SAT|4916|-.35|0|0|204.85|0|0|0|0|4916|0|
28|A06299|Bandula st - SAT|1928|-.76|0|0|0|0|0|1928|0|0|0|
29|A06300|Shantha - SAT|450|0|0|0|0|0|0|450|0|0|0|
30|A06301|Kumudasiri - SAT|2875|-.77|0|0|0|0|0|2875|0|0|0|
31|A06305|K. G. St - SAT|1139|-.64|0|0|0|0|0|1139|0|0|0|
32|A06306|Visal B / House - SAT|4995|-.91|0|0|208.16|0|0|0|0|4995|0|
33|A06307|Kasun st - SAT|1260|0|0|0|0|0|0|1260|0|0|0|
34|A06309|Prabashwara Hotel - SAT|1170|0|0|0|0|0|0|1170|0|0|0|
35|A06311|Dahanayaka - SAT|270|0|0|0|0|0|0|270|0|0|0|
36|A06310|Lalitha - SAT|1829|0|0|0|0|0|0|1829|0|0|0|
37|A06312|K.P.S. St - SAT|2932|-.5|0|0|0|0|0|0|0|2932|0|
38|A06313|Yapa st - SAT|1465|-.5|0|0|0|0|0|1465|0|0|0|
39|A06318|Kosgaha Kade - TUE|5028|-.48|0|0|209.52|0|0|0|0|5028|0|
40|93451|Karapiya st - MON|3930|1.54|428.25|0|163.69|0|0|3930|0|0|0|
41|93452|Roshan Grocery - MON|760|-.8|0|0|0|0|0|760|0|0|0|
42|93453|M.A.R. Stores - MON|4086|-.64|0|0|0|0|0|0|0|4086|0|
43|93455|Azra Grocery - MON|477|0|243|0|0|0|0|477|0|0|0|
44|93456|A.H.J Gr - MON|1347|-.6|0|0|0|0|0|1347|0|0|0|
45|93457|Dangedara B/H - MON|747|0|0|0|0|0|0|747|0|0|0|
